GeneratedTopic,YearMonth,Count
4,2015-02,2
4,2015-03,5
4,2015-04,2
4,2015-05,4
4,2015-06,3
4,2015-07,4
4,2015-08,6
4,2015-09,1
4,2015-10,5
4,2015-11,4
4,2015-12,4
4,2016-01,5
4,2016-02,4
4,2016-03,4
4,2016-04,4
4,2016-05,4
4,2016-06,5
4,2016-07,5
4,2016-08,7
4,2016-09,2
4,2016-10,7
4,2016-11,5
4,2016-12,7
4,2017-01,3
4,2017-02,7
4,2017-03,7
4,2017-04,4
4,2017-06,4
4,2017-07,6
4,2017-08,3
4,2017-09,7
4,2017-10,4
4,2017-11,4
4,2017-12,6
4,2018-01,2
4,2018-02,5
4,2018-03,6
4,2018-04,6
4,2018-05,3
4,2018-06,4
4,2018-07,4
4,2018-08,1
4,2018-09,3
4,2018-10,6
4,2018-11,5
4,2018-12,2
4,2019-01,6
4,2019-02,3
4,2019-03,8
4,2019-04,4
4,2019-05,1
4,2019-06,5
4,2019-07,5
4,2019-08,1
4,2019-09,4
4,2019-10,2
4,2019-11,3
4,2019-12,8
4,2020-01,5
4,2020-02,6
4,2020-03,2
4,2020-04,5
4,2020-05,5
4,2020-06,4
4,2020-07,4
4,2020-08,4
4,2020-09,3
4,2020-10,3
4,2020-11,3
4,2020-12,2
4,2021-01,8
4,2021-02,5
4,2021-03,6
4,2021-04,3
4,2021-05,8
4,2021-06,3
4,2021-07,3
4,2021-08,4
4,2021-09,4
4,2021-10,5
4,2021-11,2
4,2021-12,1
5,2010-10,2
5,2010-11,7
5,2010-12,4
5,2011-01,6
5,2011-02,7
5,2011-03,7
5,2011-04,15
5,2011-05,10
5,2011-06,11
5,2011-07,9
5,2011-08,14
5,2011-09,12
5,2011-10,11
5,2011-11,5
5,2011-12,11
5,2012-01,10
5,2012-02,11
5,2012-03,8
5,2012-04,8
5,2012-05,12
5,2012-06,13
5,2012-07,8
5,2012-08,5
5,2012-09,6
5,2012-10,12
5,2012-11,8
5,2012-12,7
5,2013-01,9
5,2013-02,7
5,2013-03,13
5,2013-04,12
5,2013-05,8
5,2013-06,9
5,2013-07,10
5,2013-08,6
5,2013-09,5
5,2013-10,11
5,2013-11,8
5,2013-12,5
5,2014-01,7
5,2014-02,2
5,2014-03,7
5,2014-04,5
5,2014-05,15
5,2014-06,8
5,2014-07,7
5,2014-08,11
5,2014-09,9
5,2014-10,3
5,2014-11,10
5,2014-12,3
5,2015-01,9
5,2015-02,10
5,2015-03,7
5,2015-04,8
5,2015-05,11
5,2015-06,6
5,2015-07,9
5,2015-08,8
5,2015-09,7
5,2015-10,6
5,2015-11,2
5,2015-12,4
5,2016-01,3
5,2016-02,11
5,2016-03,8
5,2016-04,8
5,2016-05,5
5,2016-06,12
5,2016-07,5
5,2016-08,11
5,2016-09,8
5,2016-10,6
5,2016-11,9
5,2016-12,8
5,2017-01,8
5,2017-02,7
5,2017-03,11
5,2017-04,4
5,2017-05,10
5,2017-06,10
5,2017-07,9
5,2017-08,4
5,2017-09,8
5,2017-10,2
5,2017-11,8
5,2017-12,5
5,2018-01,6
5,2018-02,6
5,2018-03,6
5,2018-04,7
5,2018-05,7
5,2018-06,7
5,2018-07,9
5,2018-08,7
5,2018-09,5
5,2018-10,5
5,2018-11,6
5,2018-12,4
5,2019-01,8
5,2019-02,10
5,2019-03,7
5,2019-04,4
5,2019-05,9
5,2019-06,6
5,2019-07,5
5,2019-08,5
5,2019-09,3
5,2019-10,4
5,2019-12,10
5,2020-01,7
5,2020-02,8
5,2020-03,4
5,2020-04,6
5,2020-05,7
5,2020-06,4
5,2020-07,4
5,2020-09,4
5,2020-10,2
5,2020-11,7
5,2020-12,8
5,2021-01,8
5,2021-02,7
5,2021-03,2
5,2021-04,4
5,2021-05,6
5,2021-06,7
5,2021-07,2
5,2021-08,3
5,2021-09,1
5,2021-10,6
5,2021-11,3
6,2010-09,1
6,2011-02,1
6,2011-03,1
6,2011-04,1
6,2011-09,1
6,2011-10,2
6,2012-01,1
6,2012-02,1
6,2012-03,1
6,2013-11,1
6,2014-01,1
6,2014-07,1
6,2014-09,1
6,2015-08,1
6,2015-09,1
6,2016-08,1
6,2018-02,1
6,2019-07,1
6,2020-10,1
6,2021-01,1
7,2010-09,1
7,2010-12,1
7,2011-01,1
7,2011-02,1
7,2011-04,1
7,2011-05,1
7,2011-07,1
7,2011-09,1
7,2011-10,1
7,2011-11,1
7,2012-03,2
7,2012-09,1
7,2012-10,1
7,2013-04,1
7,2013-07,3
7,2013-11,1
7,2014-04,1
7,2014-07,1
7,2014-09,1
7,2014-12,1
7,2015-05,1
7,2015-06,1
7,2016-03,1
7,2016-05,1
7,2016-06,1
7,2016-08,2
7,2016-10,1
7,2017-01,1
7,2017-06,1
7,2017-10,1
7,2017-12,1
7,2018-01,1
7,2018-05,1
7,2018-08,1
7,2019-01,1
7,2019-05,1
7,2020-01,1
7,2020-02,1
7,2020-11,1
7,2020-12,1
7,2021-06,1
8,2009-01,1
8,2009-03,1
8,2010-09,4
8,2010-10,4
8,2010-11,9
8,2010-12,17
8,2011-01,25
8,2011-02,26
8,2011-03,32
8,2011-04,34
8,2011-05,38
8,2011-06,39
8,2011-07,33
8,2011-08,44
8,2011-09,48
8,2011-10,33
8,2011-11,43
8,2011-12,32
8,2012-01,31
8,2012-02,43
8,2012-03,48
8,2012-04,43
8,2012-05,45
8,2012-06,45
8,2012-07,43
8,2012-08,31
8,2012-09,43
8,2012-10,45
8,2012-11,57
8,2012-12,28
8,2013-01,37
8,2013-02,43
8,2013-03,54
8,2013-04,36
8,2013-05,50
8,2013-06,42
8,2013-07,54
8,2013-08,47
8,2013-09,44
8,2013-10,60
8,2013-11,32
8,2013-12,46
8,2014-01,57
8,2014-02,52
8,2014-03,56
8,2014-04,50
8,2014-05,42
8,2014-06,39
8,2014-07,65
8,2014-08,42
8,2014-09,45
8,2014-10,41
8,2014-11,40
8,2014-12,43
8,2015-01,63
8,2015-02,64
8,2015-03,52
8,2015-04,54
8,2015-05,36
8,2015-06,57
8,2015-07,53
8,2015-08,49
8,2015-09,46
