GeneratedTopic,UnansweredRate,AvgTimeToAnswer
0,0.486322188449848,6105.296474489193
1,0.4035087719298246,8426.489306335283
2,0.7076923076923076,4631.644037670941
3,0.4107142857142857,10527.397045684524
4,0.4678030303030303,4853.67717985585
5,0.5021008403361344,5792.183728014706
6,0.4285714285714286,5069.052821706349
7,0.37777777777777777,8361.57705128395
8,0.5000783821915661,4574.139581111677
9,0.5928571428571429,5444.935228563491
